Title,Author,ISBN,Publisher,Date Read,Shelves,Bookshelves,read_dates,tags,authors,isbn10,isbn13,owned,dropped_dates,currently_reading
Mare nero,Gabriella Genisi,9788829710836,Sonzogno,,,Crime,,Crime,Gabriella Genisi,,9788829710836,,,
La forma dell'acqua,Andrea Camilleri,9788838926648,Sellerio Editore srl,,,Fiction General Mystery&Detective,,"Fiction,General,Mystery & Detective",Andrea Camilleri,,9788838926648,,,
Un bastimento carico di riso,Alicia Giménez Bartlett,9788838919718,Sellerio,,,Crime Thriller Mystery,,"Crime,Thriller,Mystery",Alicia Giménez Bartlett,,9788838919718,,,
Dove nessuno ti troverà,Alicia Giménez Bartlett,9788838925757,Sellerio,,,Historical Thriller,,"Historical,Thriller",Alicia Giménez Bartlett,,9788838925757,,,
Harry Bosch Collection: L'ombra del coyote-Musica dura,Michael Connelly,9788838476921,Piemme,,,Fiction Thrillers Suspense,,"Fiction,Thrillers,Suspense",Michael Connelly,,9788838476921,,,
Serpenti nel Paradiso,Alicia Giménez Bartlett,9788838918728,Sellerio,,,Crime Thriller,,"Crime,Thriller",Alicia Giménez Bartlett,,9788838918728,,,
Il cerchio del lupo,Michael Connelly,9788858500859,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858500859,,,
La fuggitiva,Carlo Lefebvre,9788809973251,Giunti Editore,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Carlo Lefebvre,,9788809973251,,,
Quasi colpevole,Paolo Pinna Parpaglia,9788822723833,Newton Compton Editori,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Paolo Pinna Parpaglia,,9788822723833,,,
Il passato è un morto senza cadavere,Antonio Manzini,9788838946967,Sellerio Editore,,,Crime Contemporary,,"Crime,Contemporary",Antonio Manzini,,9788838946967,,,
